Exercise ,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Exercise Classification
Alternating Heel Taps,https://youtu.be/URWXz0DmE7s,https://youtu.be/IVppNiu0hvw,Beginner,Abdominals,Obliques,Rectus Abdominis ,,Bodyweight,0,,,Supine,Double Arm,Alternating,No Grip,No Load,Single Exercise,Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,
Flutter Kicks,https://youtu.be/e_s7uBNPnow,https://youtu.be/DNx0PYv7_L8,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Supine,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Kneeling Plank,https://youtu.be/Ns1NS9ThNhI,https://youtu.be/5HyOjaj7atU,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Prone,Double Arm,Continuous,Forearm,No Load,Single Exercise,Anti-Extension,,,Frontal Plane,,,Midsection,Other,Compound,Bilateral,
Seated Ab Circles,https://youtu.be/GflQ_ymx9Nw,,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Seated,No Arms,Continuous,Flat Palm,No Load,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Ring Hanging Oblique Knee Raise,,,Intermediate,Abdominals,Obliques,Rectus Abdominis ,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Stability Ball Stir The Pot,https://youtu.be/IfOtFv6zz8I,https://youtu.be/S3z8aQpu5bw,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Prone,Double Arm,Continuous,Forearm,No Load,Single Exercise,Anti-Extension,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Alternating Side Kick Through,https://youtu.be/1jCudOtlLsc,https://youtu.be/86NNY5U6jqk,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,No Load,Single Exercise,Rotational,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Animal Flow
Ring L Hang Flutter Kicks ,https://youtu.be/Y7Ua1YRsqd0,,Intermediate,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Slam Ball Russian Twist,https://youtu.be/qyZ0pAtgo_Y,,Intermediate,Abdominals,Obliques,Rectus Abdominis ,,Slam Ball,1,,,Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Dumbbell Otis Up,https://youtu.be/vjAjAERSkIk,https://youtu.be/BhtnaHGJa8w,Novice,Abdominals,Rectus Abdominis,,,Dumbbell,1,,,Supine,Double Arm,Continuous,Crush Grip,Overhead,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Single Arm Dumbbell Side Plank Reach Through ,https://youtu.be/Ec9Ymqhe5i4,,Advanced,Abdominals,Obliques,Rectus Abdominis ,,Dumbbell,1,,,Side Plank,Single Arm,Continuous,Neutral,Other,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,
Ab Wheel Kneeling Rollout,https://youtu.be/QB2Gj1QGfjQ,https://youtu.be/A3uK5TPzHq8,Novice,Abdominals,Rectus Abdominis,,,Ab Wheel,1,,,Prone,Double Arm,Continuous,Pronated,No Load,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Cable Seated Crunch,https://youtu.be/gQT76pz_X9Y,https://youtu.be/vg1KU7HNbyw,Novice,Abdominals,Rectus Abdominis,,,Cable,1,,,Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,
Cable Kneeling Crunch,https://youtu.be/ToJeyhydUxU,https://youtu.be/vsAPBAg0fb0,Novice,Abdominals,Rectus Abdominis,,,Cable,1,,,Kneeling,Double Arm,Continuous,Neutral,Other,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,
Medicine Ball V-Up,https://youtu.be/7MY2agzydDw,,Novice,Abdominals,Rectus Abdominis,,,Medicine Ball,1,,,V Sit Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Suspension Knee Tuck,https://youtu.be/z2tctrNfTrY,https://youtu.be/EXIJ4dILenc,Novice,Abdominals,Rectus Abdominis,,,Suspension Trainer,1,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Spinal Flexion,Anti-Extension,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Suspension Lateral Knee Tuck,https://youtu.be/nedEXGnhHak,https://youtu.be/Jz9UDCeyuBo,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer,1,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Rotational,Spinal Flexion,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Push Up Alternating Kick Through,https://youtu.be/wcBXDGhqnBU,,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Bodyweight,0,,,Prone,Double Arm,Alternating,Flat Palm,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Animal Flow
Single Arm Dumbbell Turkish Get Up,https://youtu.be/saYKvqSscuY,https://youtu.be/MlDLOiN42d4,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,1,,,Supine,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Unilateral,
Bear Crawl,https://youtu.be/8y-C1wUb-3c,https://youtu.be/Wgt1vdZ_YYk,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,No Load,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,
Stability Ball Knee Tuck,https://youtu.be/PbCgRWzQPc8,,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Ring Hanging Leg Raise ,https://youtu.be/IMWzJ7zkklA,,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Parallette L Sit,https://youtu.be/lLu9U0G7Ogw,https://youtu.be/rzK07x9QeNY,Advanced,Abdominals,Rectus Abdominis,,,Parallette Bars,2,,,L Sit,Double Arm,Continuous,Neutral,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Standing Walkout Plank,https://youtu.be/-FW8DNKsAh8,https://youtu.be/R6SMJ-TzgZo,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Standing,Double Arm,Alternating,Flat Palm,No Load,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Standing Walkout Push-Up ,https://youtu.be/iUsiko8RRpg,https://youtu.be/zR7oQp1Ucq8,Intermediate,Chest,Pectoralis Major,Rectus Abdominis ,,Bodyweight,0,,,Prone,Double Arm,Alternating,Flat Palm,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,
Barbell Climb,https://youtu.be/1bBP54xKHbQ,,Expert,Abdominals,Rectus Abdominis,,,Barbell,1,,,Standing,Double Arm,Alternating,Neutral,No Load,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Ipsilateral Bird Dog,https://youtu.be/8e1m4FNO7t8,,Expert,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Quadruped,Single Arm,Continuous,Flat Palm,No Load,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Ipsilateral,
Copenhagen Plank Knee to Elbow,https://youtu.be/DrSAMHlAk4I,,Expert,Adductors,Adductor Magnus,,,Bodyweight,0,Bench (Flat),1,Side Plank,Single Arm,Continuous,Forearm,No Load,Single Exercise,Anti-Lateral Flexion,,,Transverse Plane,,,Lower Body,Other,Compound,Unilateral,
Ring Dead Hang,https://youtu.be/uMcoQ-ijpsk,,Beginner,Back,Latissimus Dorsi,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,
Suspension Archer Row ,https://youtu.be/O0wf46CgVZg,,Novice,Shoulders,Posterior Deltoids,,,Suspension Trainer,1,,,Standing,Double Arm,Alternating,Neutral,No Load,Single Exercise,Horizontal Pull,,,Frontal Plane,,,Upper Body,Pull,Compound,Unilateral,
Suspension Alternating Archer Row Hold ,,,Novice,Shoulders,Posterior Deltoids,,,Suspension Trainer,1,,,Standing,Double Arm,Alternating,Neutral,No Load,Single Exercise,Horizontal Pull,,,Frontal Plane,,,Upper Body,Pull,Compound,Unilateral,
Ring Eccentric Pull Up,https://youtu.be/4vEoBieXyKk,,Novice,Back,Latissimus Dorsi,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Pull Up,https://youtu.be/cLqkGqiva1M,,Intermediate,Back,Latissimus Dorsi,,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Pronated,No Load,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Eccentric Chin Up,https://youtu.be/Gh3vyrtzkmY,,Novice,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,2,,,Hanging,Double Arm,Continuous,Supinated,No Load,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Miniband Fire Hydrant,https://youtu.be/gnzypKUFU6Y,,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband,1,,,Quadruped,No Arms,Continuous,Flat Palm,No Load,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,
Medicine Ball Russian Twist,https://youtu.be/-_iuNMMSCGs,https://youtu.be/5BF32n07JBY,Novice,Abdominals,Obliques,Rectus Abdominis ,,Medicine Ball,1,,,Seated,Double Arm,Continuous,Neutral,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Side Plank,https://youtu.be/_R389Jk0tIo,https://youtu.be/rCxF2nG9vQ0,Novice,Abdominals,Obliques,Rectus Abdominis ,,Bodyweight,0,,,Side Plank,Single Arm,Continuous,Forearm,No Load,Single Exercise,Anti-Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,
Cable Reverse Ankle Strap Crunch,https://youtu.be/Ss3G7RnIjV4,,Intermediate,Abdominals,Rectus Abdominis,,,Cable,1,,,Supine,No Arms,Continuous,No Grip,Other,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Cable Half Kneeling High to Low Chop,https://youtu.be/hUbRkz4AxkE,https://youtu.be/KOh8cxe2ziE,Intermediate,Abdominals,Obliques,Rectus Abdominis ,,Cable,1,,,Half Kneeling,Double Arm,Continuous,Pronated,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Cable Half Kneeling Low to High Chop,https://youtu.be/Hs_AMsqzIl0,https://youtu.be/AA7q2T4IOCk,Intermediate,Abdominals,Obliques,Rectus Abdominis ,,Cable,1,,,Half Kneeling,Double Arm,Continuous,Pronated,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Kettlebell Half Kneeling Low to High Chop,https://youtu.be/wPXdGwc0NTs,https://youtu.be/exMSeCF3DJg,Intermediate,Abdominals,Obliques,Rectus Abdominis ,,Kettlebell,1,,,Half Kneeling,Double Arm,Continuous,Horn Grip,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,
Cable Standing High to Low Chop ,,,Intermediate,Abdominals,Obliques,Rectus Abdominis ,,Cable,1,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Cable Standing Low to High Chop,,,Intermediate,Abdominals,Obliques,Rectus Abdominis ,,Cable,1,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Single Arm Dumbbell Windmill,https://youtu.be/EVLXzqAzAHI,https://youtu.be/quZn5q5IR2k,Intermediate,Abdominals,Obliques,,,Dumbbell,1,,,Standing,Single Arm,Continuous,Neutral,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,
Single Arm Kettlebell Windmill,https://youtu.be/3rtUK_jUv4s,https://youtu.be/VFHj4FehsfM,Intermediate,Abdominals,Obliques,,,Kettlebell,1,,,Standing,Single Arm,Continuous,Pronated,Overhead,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Grinds
Kettlebell Russian Twist,https://youtu.be/59_aq7COfts,https://youtu.be/SigTyTv0TQQ,Novice,Abdominals,Obliques,,,Kettlebell,1,,,Seated,Double Arm,Continuous,Horn Grip,Other,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Feet On Wall Mountain Climber ,https://youtu.be/OcGkhubaWzE,,Expert,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Alternating Single Arm Kettlebell Plank Pull Through,https://youtu.be/fKbu_2L94x8,https://youtu.be/setqoQC3HAU,Intermediate,Abdominals,Rectus Abdominis,Obliques,,Kettlebell,1,,,Prone,Single Arm,Alternating,Pronated,Other,Single Exercise,Anti-Extension,Anti-Rotational ,,Sagittal Plane,Frontal Plane,,Midsection,Other,Compound,Unilateral,
Hollow Body Hold,https://youtu.be/4xRpGgttca8,https://youtu.be/hf00_b2sRdc,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Supine,Double Arm,Continuous,No Grip,No Load,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Dumbbell Crush Grip Hollow Body Hold,https://youtu.be/Wo-pGZst6l0,,Intermediate,Abdominals,Rectus Abdominis,,,Dumbbell,1,,,Supine,Double Arm,Continuous,Crush Grip,Other,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Inverted Hanging Crunch,https://youtu.be/LXQTkeYPki8,https://youtu.be/gQbe4jcqfEA,Expert,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Inverted ,No Arms,Continuous,Head Supported,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Inverted Hanging Oblique Crunch,,,Expert,Abdominals,Obliques,,,Bodyweight,0,,,Inverted ,No Arms,Continuous,Head Supported,No Load,Single Exercise,Rotational,Spinal Flexion,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,
Single Arm Kettlebell Single Leg Standing Bent Knee Around The World ,https://youtu.be/ve60gzLLyzA,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1,,,Single Leg Standing Bent Knee,Single Arm,Continuous,Pronated,Other,Single Exercise,,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Balance
Supine Alternating Single Leg Raise,https://youtu.be/TJITvui4Wwo,,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Supine,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Supine Leg Raise,https://youtu.be/q0JVBRHoLz4,,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Supine,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Miniband Bicycle Crunch,https://youtu.be/q_c5MFYuza4,https://youtu.be/i5hJzH1AhRw,Novice,Abdominals,Obliques,,,Miniband,1,,,Supine,No Arms,Alternating,Head Supported,No Load,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,
Side Plank Reach Through,https://youtu.be/7lfNb_zydvQ,https://youtu.be/-ruAdV34H54,Novice,Abdominals,Obliques,Rectus Abdominis ,,Bodyweight,0,,,Side Plank,Single Arm,Continuous,Forearm,No Load,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,
Sit Up,https://youtu.be/jDwoBqPH0jk,https://youtu.be/-WSon5E798w,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Supine,No Arms,Continuous,Head Supported,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Butterfly Sit Up,https://youtu.be/ZLyOWSPnVrM,https://youtu.be/hdXsuDt2PKE,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,0,,,Supine,No Arms,Continuous,Head Supported,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Slider Mountain Climber,https://youtu.be/fjHQIVIPLHY,https://youtu.be/stMm-c-DeQI,Novice,Abdominals,Rectus Abdominis,,,Sliders,2,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Slider Pike ,https://youtu.be/CG-qljrMNS4,https://youtu.be/dIhjNYsITbc,Advanced,Abdominals,Rectus Abdominis,,,Sliders,2,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Stability Ball Pike,https://youtu.be/eFcjeQ9tuEQ,,Advanced,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Slider Wide Mountain Climber,https://youtu.be/d64d_6PE9fY,,Intermediate,Abdominals,Rectus Abdominis,,,Sliders,2,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Anti-Extension,Spinal Flexion,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,
Stability Ball Crunch,https://youtu.be/HNZjpnyu3Q8,https://youtu.be/sUMW-xhzI84,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Supine,No Arms,Continuous,Head Supported,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Stability Ball Feet Elevated Oblique Crunch,https://youtu.be/fZZK29dMla0?si=BQpGveG4S8WqLjzv,,Beginner,Abdominals,Obliques,,,Stability Ball,1,,,Supine,No Arms,Continuous,Head Supported,No Load,Single Exercise,Rotational,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,
Stability Ball Kneeling Rollout,https://youtu.be/hCE6ejbY3CM,https://youtu.be/2UQx-1dxyY8,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Prone,Double Arm,Continuous,Forearm,No Load,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,
Stability Ball Single Leg Knee Tuck,https://youtu.be/xnOF_sTSppw,,Advanced,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Stability Ball Single Leg Pike,https://youtu.be/7skasCMLRL8,,Expert,Abdominals,Rectus Abdominis,,,Stability Ball,1,,,Prone,Double Arm,Continuous,Flat Palm,No Load,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,
Parallette Kneeling Push Up,https://youtu.be/iHR7BprMyEc,,Novice,Chest,Pectoralis Major,,,Parallette Bars,2,,,Kneeling,Double Arm,Continuous,Neutral,No Load,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Contralateral,Calisthenics
Single Arm Kettlebell Swing,https://youtu.be/kneGICiz30g,https://youtu.be/BXrXhyudA80,Novice,Glutes,Gluteus Maximus,Biceps Femoris,,Kettlebell,1,,,Standing,Single Arm,Continuous,Pronated,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,,Compound,Unilateral,Ballistics
Double Dumbbell Romanian Deadlift,https://youtu.be/UsOjCcxSJaI,https://youtu.be/hQgFixeXdZo,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Dumbbell,2,,,Standing,Double Arm,Continuous,Pronated,Other,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding
Single Arm Dumbbell Side Plank,https://youtu.be/2WxwO9E93wI,,Intermediate,Abdominals,Obliques,Rectus Abdominis ,,Dumbbell,1,,,Side Plank,Single Arm,Continuous,Neutral,Other,Single Exercise,Anti-Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,
Single Leg Glute Bridge,https://youtu.be/z4J188sFD4g,https://youtu.be/_K_di6h2-Wg,Novice,Glutes,Gluteus Maximus,,,Bodyweight,0,,,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Unilateral,
Dumbbell Glute Bridge,https://youtu.be/JpDDoINkrog,https://youtu.be/FSiUH5jn3Cs,Beginner,Glutes,Gluteus Maximus,,,Dumbbell,1,,,Bridge,Double Arm,Continuous,Neutral,Hip Crease,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Bilateral,
Glute Bridge Alternating Single Leg Extension,https://youtu.be/-FR6G8WJTYg,,Beginner,Glutes,Gluteus Maximus,,,Bodyweight,0,,,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,,Compound,Unilateral,
Miniband Side Lying Clamshell,https://youtu.be/QjKyGqrAaP4,https://youtu.be/m_ZPapmqeNM,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband,1,,,Side Lying,No Arms,Continuous,No Grip,No Load,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,
